,author_id,label,author_name
0,192,2,David Hogg
1,226,2,Martial Hebert
2,234,3,Gady Agam
3,435,2,Takeo Kanade
4,444,1,Hong Zhang
5,448,2,Katsushi Ikeuchi
6,521,2,Ken-ichi Kanatani
7,620,2,Djemel Ziou
8,631,2,Avinash C. Kak
9,714,1,Jens Gregor
10,794,2,Jake K. Aggarwal
11,798,2,Steven Feiner
12,867,3,Hongtao Xu
13,871,1,Stefano Lonardi
14,934,2,Thomas S. Huang
15,959,0,Benjamin Bustos
16,1102,2,Yi Liu
17,1116,0,Darrell D. E. Long
18,1140,2,Takashi Matsuyama
19,1245,2,Alex Pentland
20,1256,3,Wei Zhang
21,1288,3,Matthias Hemmje
22,1313,2,Steven W. Zucker
23,1314,1,Gang Li
24,1336,1,Heng Huang
25,1338,1,Fillia Makedon
26,1394,2,Parris K. Egbert
27,1582,1,Rey-Long Liu
28,1705,1,Young-Koo Lee
29,1842,2,Gang Xu
30,1844,0,Jian Yang
31,1930,2,Joachim Diederich
32,1975,1,David L. Dowe
33,2237,0,Junho Shim
34,2245,0,Sukho Lee
35,2280,3,Seyed M. M. Tahaghoghi
36,2290,1,Wei Li
37,2316,1,Nan Zhang
38,2418,0,Peter P. Chen
39,2500,2,Lei Wang
40,2525,0,Joachim Hammer
41,2526,0,Herman Lam
42,2588,1,Tao Li
43,2691,2,Brian Logan
44,3043,1,Hiroshi Yasuda
45,3293,3,Katsumi Tanaka
46,3362,3,Matthew Chalmers
47,3460,2,James A. Hendler
48,3490,0,Allison Woodruff
49,3530,0,Scott E. Hudson
50,3628,3,Carl Gutwin
51,3666,3,John M. Carroll
52,3673,2,Roger C. Schank
53,3675,0,Ben Shneiderman
54,3711,3,Jason I. Hong
55,3720,0,Roger King
56,3759,2,N. Hari Narayanan
57,3782,3,M. Cameron Jones
58,3794,2,Hermann Kaindl
59,4027,0,Christian Stary
60,4112,3,Daniel C. Robbins
61,4130,3,Matt Jones
62,4136,3,Maxine Frank
63,4225,1,Nick Cercone
64,4239,3,Abdur Chowdhury
65,4241,0,Paul W. P. J. Grefen
66,4254,3,Josiane Mothe
67,4285,2,Peter R. Wurman
68,4319,2,Dongmo Zhang
69,4327,2,Guido Boella
70,4386,0,Ying Chen
71,4469,2,Mark S. Fox
72,4472,2,Vincent Conitzer
73,4473,2,Tuomas Sandholm
74,4489,2,James T. Kwok
75,4516,2,David C. Parkes
76,4561,2,Peter Stone
77,4595,2,Katia P. Sycara
78,4606,0,Rudi Studer
79,4642,2,Jeff Z. Pan
80,4681,2,Timothy W. Finin
81,4701,1,Takahira Yamaguchi
82,4730,2,Yongmei Liu
83,4793,2,Sarosh Talukdar
84,4802,0,Li Chen
85,4830,2,Iyad Rahwan
86,4840,3,Li Ding
87,4842,2,Rong Pan
88,4865,0,Louiqa Raschid
89,4886,2,Arun K. Pujari
90,4922,2,Feng Zhao
91,4927,2,Yoav Shoham
92,4968,0,Panagiotis G. Ipeirotis
93,5048,2,Jie Zhang
94,5049,2,Robin Cohen
95,5160,3,Chen Ding
96,5173,3,Parry Husbands
97,5214,1,Yen-Kuang Chen
98,5217,1,Amol Ghoting
99,5269,0,Naphtali Rishe
100,5282,3,Juan E. Gilbert
101,5304,0,Eric N. Hanson
102,5577,2,Miroslaw Truszczynski
103,5586,2,Andrew Lim
104,5739,2,Thomas J. Murray
105,5752,0,Vram Kouramajian
106,5795,2,B. John Oommen
107,6114,3,Sheau-Dong Lang
108,6127,3,Jyh-haw Yeh
109,6143,1,Morgan C. Wang
110,6207,0,Jun Zhang
111,6295,1,Li Yang
112,6330,3,Lei Zhang
113,6461,0,Catharine M. Wyss
114,6613,1,Xin Xu
115,6656,3,Paul S. Fisher
116,6773,2,Sukhamay Kundu
117,6805,1,Ching-Chi Hsu
118,6890,0,Maria Zemankova
119,6976,0,Guido Moerkotte
120,7022,0,S. Misbah Deen
121,7046,2,Stefano Bistarelli
122,7244,3,Yoichi Shinoda
123,7277,1,Wei Wang
124,7338,0,Hidehiko Tanaka
125,7366,0,Markus Schneider
126,7562,1,Zhanhuai Li
127,7569,3,Paolo Giorgini
128,7728,2,Francesco Santini
129,7739,2,Evangelos E. Milios
130,7757,0,Thomas J. E. Schwarz
131,7885,3,Susana Ladra
132,7907,2,Rattikorn Hewett
133,7964,0,Barton P. Miller
134,8053,0,Svein-Olaf Hvasshovd
135,8207,1,Bao-Gang Hu
136,8242,1,Yu Qian
137,8320,3,Wei Lai
138,8394,3,Jie Tang
139,8450,1,Ming Yang
140,8741,0,Chin-Chen Chang
141,8756,1,Baile Shi
142,8788,3,Dong-Hong Ji
143,8875,0,Jun Chen
144,8912,1,Wei Ding
145,8928,0,Ge Yu
146,8966,0,Jianzhong Li
147,9000,3,Yan Liu
148,9024,1,Lei Liu
149,9096,3,Ning Liu
150,9098,1,Hongwei Zhang
151,9153,0,Daniel P. Miranker
152,9222,3,Fan Yang
153,9252,1,Aoying Zhou
154,9329,1,Ling Feng
155,9391,0,Xiaokui Xiao
156,9465,1,Ying Li
157,9485,0,Ling Liu
158,9518,3,Ying Zhang
159,9521,2,Jun Guo
160,9784,0,Meichun Hsu
161,9791,3,Yi Zhang
162,9873,1,Keith C. C. Chan
163,9915,1,Gang Wang
164,10003,3,Fang Liu
165,10138,2,Tetsuya Higuchi
166,10220,1,Junqiang Liu
167,10299,2,Tong Zhang
168,10431,1,Yiyu Yao
169,10450,1,Wai-Ho Au
170,10465,1,Helge Ritter
171,10491,2,Jean Sallantin
172,10497,1,Reda Alhajj
173,10566,0,T. S. E. Maibaum
174,10751,1,Hidenao Abe
175,10752,1,Shusaku Tsumoto
176,10851,1,Shoji Hirano
177,11175,3,Pedro Cano
178,11216,0,Menzo Windhouwer
179,11222,3,Alex Acero
180,11242,1,B. Prabhakaran
181,11278,1,Wei Su
182,11526,0,Benjamin G. Zorn
183,11532,2,Sanjeev Kumar
184,11721,0,Hanpei Koike
185,11724,3,Yoshinori Yamaguchi
186,11758,2,Lin Li
187,11870,0,Susan J. Eggers
188,11917,0,Mark D. Hill
189,11964,3,Arnold L. Rosenberg
190,11983,2,Joxan Jaffar
191,12184,0,Asaf Adi
192,12259,0,Manuel Rodriguez-Martinez
193,12269,0,Michael J. Carey
194,12284,1,Chen Chen
195,12309,1,Moustafa Ghanem
196,12316,3,Chenxi Lin
197,12317,3,Yong Yu
198,12350,0,Calton Pu
199,12351,3,James Caverlee
200,12403,2,Munindar P. Singh
201,12443,0,Mokrane Bouzeghoub
202,12526,2,Shinichi Honiden
203,12551,0,W. A. Gray
204,12583,3,Yong Wang
205,12609,0,Zahir Tari
206,12631,3,Chi-Hung Chi
207,12672,0,Jen-Yao Chung
208,12673,0,Werner Vogels
209,12729,2,Jayant Kalagnanam
210,12801,2,Nirmit Desai
211,12816,3,Mao Chen
212,12837,0,Opher Etzion
213,12844,0,D. Janaki Ram
214,12875,0,Gustavo Alonso
